wing_length,age,fat,lean,sex,morph
73,0,2.56,20.85,1,0
71,0,1.32,18.56,1,0
73,1,0.96,21.04,1,1
74,1,2.34,18.99,1,1
71,0,2.27,17.89,1,0
72,0,4.17,21.08,1,1
75,1,2.59,20.66,1,1
72,1,4.35,18.85,NA,1
76,1,1.92,21.2,1,0
72,0,3.11,19.22,NA,1
78,1,3.21,19.47,1,1
72,0,1.94,19.83,1,0
72,0,3.84,22.13,NA,1
72,0,2.61,19.3,NA,1
73,1,4.22,19.13,NA,1
73,1,2.68,19.71,NA,0
76,0,2.05,20.76,1,0
74,1,4.1,20.81,1,1
71,0,3.08,19.81,NA,1
72,0,3.14,19.96,1,1
75,1,4.63,21.54,1,0
71,1,1.7,19.1,NA,0
74,0,3.14,20.43,1,0
72,0,5.12,18.8,NA,1
73,1,7.97,20.54,1,1
72,0,4.99,20.01,1,0
75,1,3.62,20.99,1,1
69,0,4.39,17.96,0,1
73,1,2.47,18.56,1,1
75,1,5.13,20.93,1,1
75,0,2.95,20.41,1,0
72,0,4.81,20.13,1,1
73,0,3.62,20.33,1,0
69,1,6.61,20.37,1,0
75,0,5.27,19.46,1,0
NA,NA,3.05,18.62,NA,1
70,0,3.37,19.39,1,0
68,0,3.36,18.05,0,0
71,1,NA,NA,NA,NA
74,1,NA,NA,1,0
66,0,2.35,18.06,0,1
69,1,3.18,18.76,0,1
73,1,2.31,19.37,1,1
66,1,1.71,16.07,0,1
66,0,0.63,18.3,0,0
72,1,2.85,19.25,1,0
NA,NA,1.28,17.74,0,NA
69,0,3.94,18.54,0,1
72,0,1.55,22.78,1,1
69,1,3.15,18.83,0,1
72,0,7.07,20.88,1,1
73,1,5.32,20.02,NA,0
73,0,2.67,20.84,NA,0
69,0,2.14,19.16,NA,1
71,0,2.16,18.78,NA,0
68,0,0.36,18.23,0,0
70,0,2.57,19.88,1,1
71,0,1.13,19.61,NA,1
68,0,2.2,18.09,0,0
70,0,2.83,17.14,NA,0
72,0,1.8,19.58,0,1
71,0,0.71,18.53,0,1
73,0,5.06,21.15,1,0
76,1,2.64,22.22,1,0
70,0,2.74,19.07,0,1
73,1,3.75,22.5,NA,0
75,1,4.51,19.05,1,1
72,1,4.36,19.28,NA,0
68,1,1.33,16.07,0,1
73,0,3.1,18.98,1,1
68,0,4.01,20.24,0,0
75,1,1.85,19.17,1,0
76,1,4.18,21.17,1,0
68,0,2.83,19.3,0,1
72,0,6.09,20.42,1,1
74,1,2.78,18.7,1,0
76,0,2.94,19.71,1,0
71,NA,2.65,18.85,NA,1
71,NA,2.65,18.85,NA,1
68,NA,2.08,18.76,0,1
69,0,3.97,20.11,NA,0
68,0,5.45,19.55,0,0
69,0,2.96,17.93,0,0
74,0,5.24,21.54,1,1
72,1,4.35,19.45,1,1
68,0,4.09,18.99,0,1
64,0,2.81,17.35,0,1
67,NA,4.9,18,0,0
72,0,NA,NA,0,1
66,NA,6.14,17.87,0,1
72,1,3.56,17.45,0,0
68,0,3.29,16.79,0,1
69,NA,2.63,20.05,0,0
73,0,5.36,18.27,0,0
75,1,3.35,20.34,1,0
69,0,2.56,17.6,NA,NA
72,1,3.48,19.81,1,1
69,1,NA,NA,0,1
70,0,6.56,19.24,0,0
67,0,1.99,18.56,0,0
74,1,6.64,21.62,1,0
75,1,2.76,20.17,1,1
68,1,4.71,18.65,0,1
71,1,2.75,18.38,NA,0
67,1,5.2,19.67,0,1
67,1,3.58,20.03,0,0
70,0,3.55,17.31,0,0
69,0,6.32,19.38,0,1
69,0,4.47,19.51,NA,0
69,0,6.87,19.2,0,0
68,0,4.8,17.87,0,0
66,0,4.47,17.78,0,1
72,0,7.68,18.76,0,0
66,NA,4.2,17.63,0,1
68,1,2.84,19.72,0,1
65,0,4.38,19.06,0,1
69,0,5.27,19.17,NA,NA
68,0,2.86,17.16,0,1
67,0,3.33,18.69,0,1
67,0,2.92,19.11,0,NA
66,0,2.94,18.69,0,0
71,0,2.99,18.68,NA,0
71,0,6.97,19.35,1,1
69,0,4.65,17.89,0,0
70,0,4.43,17.43,0,0
68,0,3.47,18.49,0,0
71,0,3.28,17.82,0,0
69,NA,5.56,19.22,0,0
68,NA,4.29,17.53,0,0
68,NA,3.41,18.18,0,NA
68,0,4.1,18.02,0,1
68,1,4.93,18.79,0,1
67,0,6.3,17.68,0,NA
69,0,6.04,18.43,0,0
69,0,6.89,18.57,0,1
68,NA,5.72,20.83,0,1
70,1,5.15,17.99,0,0
74,1,NA,NA,1,1
66,0,6.11,18.56,0,0
NA,1,NA,NA,1,1
66,0,3.61,17.05,0,1
NA,NA,0.33,19.53,NA,0
NA,NA,1.04,21.35,NA,0
76,1,2.44,20.01,1,0
NA,NA,0.97,19.36,NA,0
72,0,NA,NA,1,0
NA,NA,1.22,18.77,NA,0
74,1,3.04,22.43,1,1
72,1,3.41,19.62,1,0
NA,NA,0.54,20.1,NA,0
68,1,0.98,19.58,NA,0
68,1,4.25,17.8,0,0
NA,NA,0.92,19.96,NA,0
NA,NA,3.4,22.55,NA,0
NA,NA,2.3,20.73,NA,0
NA,NA,3.36,18.35,NA,0
NA,NA,1.36,20.09,NA,1
NA,NA,1.66,18.53,NA,0
NA,NA,1.1,18.83,NA,1
NA,NA,3.65,20.38,NA,1
75,1,5.06,21.59,NA,1
NA,NA,0.72,22.75,NA,1
NA,NA,2.49,19.55,NA,0
68,1,4.75,19.29,0,0
NA,NA,2.33,19.84,NA,0
NA,NA,2.87,20.62,NA,1
NA,NA,2.94,20.38,NA,1
NA,NA,3.74,21.61,NA,0
NA,NA,1.51,19.89,NA,0
NA,NA,1.04,19.63,NA,1
NA,NA,1.02,20.21,NA,0
74,1,5.15,20.56,1,0
NA,NA,4.27,20.37,NA,0
73,0,2.58,19.92,1,0
NA,NA,2.19,20.12,NA,1
NA,NA,1.41,19.53,NA,0
NA,NA,1.98,19.81,NA,1
NA,NA,3.84,17.94,NA,0
NA,NA,1.72,20.86,NA,1
NA,NA,1.14,18.91,NA,1
NA,NA,NA,NA,NA,0
NA,NA,1.59,20,NA,0
NA,NA,5.14,19.34,NA,1
NA,NA,2.41,20.01,NA,0
NA,NA,1.44,20.62,NA,0
NA,NA,3.29,20.76,NA,0
NA,NA,NA,NA,NA,0
NA,NA,1.87,21.11,NA,1
NA,NA,3.84,22.13,NA,0
NA,NA,3.57,20.3,NA,1
NA,NA,7.02,20.33,NA,1
NA,NA,2.88,21.78,NA,0
NA,NA,5.57,19.2,NA,0
NA,NA,NA,NA,NA,1
NA,NA,2,20.09,NA,0
NA,NA,3.59,20.57,NA,0
71,1,6.2,19.85,0,1
NA,NA,0.83,17.07,NA,1
NA,NA,3.48,19.14,NA,1
NA,NA,2.37,20.76,NA,0
NA,NA,6.99,21.31,NA,0
70,1,5.7,18.66,0,0
NA,NA,2.53,21.35,NA,0
NA,NA,1.92,19.07,NA,0
NA,NA,2.86,19.23,NA,1
NA,NA,2.29,20.96,NA,0
NA,NA,1.8,20.22,NA,0
NA,NA,4.34,21.38,NA,0
NA,NA,4.16,20.49,NA,0
71,1,7.97,21.03,0,1
NA,NA,4.41,20.12,NA,0
NA,NA,5.03,19.37,NA,0
NA,NA,2.9,18.93,NA,0
NA,NA,4.46,20.59,NA,1
NA,NA,4.26,18.84,NA,1
NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,0
NA,NA,4.31,20.16,NA,0
NA,NA,3.89,17.78,NA,1
NA,NA,4.32,18.72,NA,0
NA,NA,NA,NA,NA,1
NA,NA,5.27,19.84,NA,1
NA,NA,5.07,18.76,NA,0
NA,NA,4.23,18.36,NA,0
NA,NA,5.83,19.93,NA,1
NA,NA,5.27,20.03,NA,0
NA,NA,4.9,20.03,NA,0
74,0,2.65,18.37,1,0
74,1,3.18,19.27,0,0
NA,NA,5.41,19.44,NA,0
NA,NA,3.96,19.86,NA,0
NA,NA,5.05,20.26,NA,1
NA,NA,NA,NA,NA,1
NA,NA,4.39,19.59,NA,0
NA,NA,1.25,22.88,NA,1
NA,NA,5.4,20.25,NA,0
NA,NA,2.69,19.76,NA,1
NA,NA,3.16,20.8,NA,0
NA,NA,1.47,17.3,NA,1
NA,NA,2.43,19.48,NA,0
NA,NA,3.68,19.74,NA,1
NA,NA,2.31,19.45,NA,1
NA,NA,1.42,21.06,NA,0
NA,NA,0.67,18.93,NA,0
NA,NA,4.43,19.24,NA,0
NA,NA,-0.09,20.57,NA,0
NA,NA,4.48,18.51,NA,1
NA,NA,3.23,19.69,NA,1
NA,NA,2.37,18.49,NA,0
NA,NA,3.58,20.12,NA,0
NA,NA,1.5,19.45,NA,1
NA,NA,2.08,20.9,NA,0
NA,NA,1.05,16.88,NA,1
NA,NA,0.99,17.91,NA,1
NA,NA,1.99,20.82,NA,1
NA,NA,0.5,17.46,NA,0
NA,NA,0.51,16.24,NA,1
NA,NA,1.41,17.78,NA,0
74,1,3.37,19.17,1,0
NA,NA,0.9,17.45,NA,0
NA,NA,1.73,19.7,NA,1
NA,NA,4.59,20.88,NA,1
NA,NA,1.41,17.85,NA,1
NA,NA,2.75,18.54,NA,1
NA,NA,1.03,16.89,NA,1
NA,NA,3.62,19.6,NA,0
NA,NA,3.68,19.74,NA,1
NA,NA,4.01,19.4,NA,1
NA,NA,NA,NA,NA,1
NA,NA,4.39,19.08,NA,0
NA,NA,0.22,17.96,NA,0
NA,NA,1.73,17.99,NA,0
NA,NA,0.5,17.67,NA,0
NA,NA,3.17,18.86,NA,1
NA,NA,2.94,19.05,NA,1
NA,NA,1.99,18.43,NA,0
NA,NA,0.81,17.11,NA,1
NA,NA,3.52,17.05,NA,1
NA,NA,4.27,21.51,NA,1
NA,NA,4.09,18.97,NA,1
NA,NA,1.95,20.13,NA,1
NA,NA,-0.4,17.94,NA,1
NA,NA,1.42,17.44,NA,1
68,1,3.82,18.35,0,1
NA,NA,0.62,18.14,NA,1
71,0,1.29,17.92,0,0
67,1,3.76,18.15,0,0
NA,NA,1.52,20.31,NA,1
67,1,2.75,17.92,0,0
67,1,3.59,17.71,0,0
NA,NA,0.91,18.26,NA,1
NA,NA,2.12,18.7,NA,1
NA,NA,3.09,22.28,NA,0
NA,NA,2.8,19.78,NA,0
NA,NA,4.05,21,NA,1
NA,NA,1.12,20.2,NA,0
NA,NA,3.65,20.18,NA,0
NA,NA,5.14,21.95,NA,1
NA,NA,2.13,20.06,NA,1
NA,NA,1.57,18.67,NA,1
NA,NA,2.81,19.64,NA,1
NA,NA,2.82,19.04,NA,1
69,0,0.95,18.66,0,1
66,1,1.42,19.64,0,1
NA,NA,3.89,21.26,NA,0
67,1,2.93,17.16,0,0
NA,NA,2.33,19.4,NA,1
NA,NA,4.46,21.27,NA,0
NA,NA,1.74,20.56,1,1
NA,NA,4.53,18.87,NA,0
NA,NA,1.58,17.28,NA,1
NA,NA,3.26,20.98,NA,0
NA,NA,1.81,17.04,NA,1
NA,NA,2.58,17.8,NA,0
NA,NA,1.14,18.45,NA,0
NA,NA,2.29,21.72,NA,0
NA,NA,4.2,18.01,NA,0
NA,NA,8.32,21.59,NA,1
NA,NA,3.96,18.41,NA,0
NA,NA,1.64,18.67,NA,0
NA,NA,2.75,21.03,NA,1
NA,NA,7.03,19.24,NA,0
NA,NA,5.06,18.81,NA,0
67,0,3.68,19.32,0,0
NA,NA,1.5,18.96,NA,0
NA,NA,3.48,20.61,NA,0
67,1,1.97,18.44,0,1
NA,NA,6.36,22.89,NA,0
NA,NA,3.09,19.4,NA,0
NA,NA,5.48,20.71,NA,1
NA,NA,1.16,17.92,NA,1
NA,NA,2.85,20.4,NA,1
NA,NA,1.6,18.46,NA,1
NA,NA,3.08,18.82,NA,0
NA,NA,4.16,20.58,NA,1
68,1,2.7,18.26,NA,0
NA,NA,3.52,17.94,NA,1
67,1,3.13,18.6,0,1
NA,NA,2.1,21.48,NA,1
NA,NA,1.34,17.74,NA,1
65,0,0.96,16.44,0,1
68,1,3.37,18.46,0,1
NA,NA,1.77,20.1,NA,1
NA,NA,1.5,20.09,NA,0
NA,NA,2.36,19.05,NA,1
68,1,2.38,17.33,0,1
67,1,3.8,17.95,0,1
66,1,2.02,18.66,0,1
NA,NA,3.35,19.14,NA,0
NA,NA,4.87,21.58,NA,1
66,1,3.52,17.94,0,1
NA,NA,1.62,17.73,NA,1
66,1,4.79,17.63,0,0
NA,NA,3.54,20.13,NA,0
74,1,3.27,19.47,1,1
75,1,4.59,21.92,1,1
NA,NA,3.65,18.34,NA,1
NA,NA,3.23,20.2,NA,NA
66,1,3.92,16.67,0,1
68,0,7.33,20.47,0,0
NA,NA,4.53,17.93,NA,1
NA,NA,3.28,20.1,NA,0
NA,NA,4.92,20.24,NA,0
NA,NA,3.89,17.32,NA,1
76,1,4.59,21.81,1,1
74,1,5.1,19.1,1,1
NA,NA,3.9,17.85,NA,0
NA,NA,6.64,19.46,NA,0
NA,NA,6.29,17.94,NA,0
NA,NA,5.46,17.75,NA,1
66,1,4.43,18.34,0,1
NA,NA,5.25,18.85,NA,1
70,0,3.09,19.33,0,0
NA,NA,3.19,20.88,NA,0
NA,NA,4.3,18.33,NA,0
NA,NA,3.2,16.38,NA,1
NA,NA,1.85,17.26,NA,1
NA,NA,5.12,18.27,0,1
NA,NA,2.33,16.75,0,0
NA,NA,3.8,18.33,NA,0
NA,NA,4.67,19.25,NA,1
67,1,3.37,18.65,NA,0
NA,NA,1.96,17.66,NA,1
NA,NA,5.41,20.55,NA,1
NA,NA,4.56,17.12,NA,0
NA,NA,8.34,22.03,NA,0
NA,NA,4.47,17.62,NA,1
NA,NA,3.62,18.71,NA,1
NA,NA,5.95,18.32,NA,1
NA,NA,3.66,18.25,NA,1
NA,NA,4.84,18.89,NA,NA
67,1,3.91,17.33,0,0
NA,NA,4.64,18.68,NA,0
NA,NA,5.1,19.72,NA,0
NA,NA,3.48,18.98,NA,0
NA,NA,5.26,19.25,NA,1
NA,NA,3,16.75,NA,0
70,0,4.83,16.04,0,1
NA,NA,5.32,18.81,NA,0
63,0,4.19,14.9,0,0
NA,NA,6.21,20.29,NA,0
67,1,7.03,18.7,0,1
NA,NA,5.44,18.49,NA,0
NA,NA,4.87,18.57,NA,1
NA,NA,3.97,16.87,NA,1
68,1,4.35,17.68,0,0
68,1,4.96,17.43,NA,1
67,1,3.19,18.27,0,1
NA,NA,4.81,16.89,NA,0
NA,NA,3.88,18.53,NA,0
NA,NA,3.91,19.31,NA,1
NA,NA,2.62,15.26,NA,0
NA,NA,0.62,18.68,NA,0
NA,NA,1.4,20.66,NA,0